date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_gap_open,sig_prev_day_sr,sig_ema_cross,sig_range_width
2025-09-16,skip,0.0,0.0,0.0,0.0,0.0,241.22000122070312,236.32350158691406,no_entry,0.0,0.0,38,,,False,0,0,0,15,5,10,0,10,0,-10,8
2025-09-17,skip,0.0,0.0,0.0,0.0,0.0,240.10000610351562,238.7899932861328,no_entry,0.0,0.0,30,,,False,0,0,0,15,5,10,0,10,0,-10,0
2025-09-18,skip,0.0,0.0,0.0,0.0,0.0,241.1999969482422,236.64999389648438,no_entry,0.0,0.0,-30,,,False,0,0,0,-15,5,-10,0,10,8,-10,8
2025-09-19,skip,0.0,0.0,0.0,0.0,0.0,242.58999633789062,240.21060180664062,no_breakout,0.0,0.0,-20,,,False,0,0,0,-15,5,0,0,10,0,-10,0
2025-09-22,call,252.83,256.46,250.41,254.65,256.46,252.73500061035156,248.1699981689453,target_2,3.63,1.4357,38,10:30,11:30,True,0,0,0,15,5,10,0,10,0,-10,8
2025-09-23,skip,0.0,0.0,0.0,0.0,0.0,257.3399963378906,255.27999877929688,no_entry,0.0,0.0,28,,,False,0,0,0,15,5,10,0,0,0,-10,8
2025-09-24,put,252.03,252.24000549316406,253.93,250.6,249.18,255.72999572753906,252.0800018310547,time_stop,-0.21,-0.0833,-38,10:30,15:30,False,0,0,0,-15,5,-10,0,10,0,-10,8
2025-09-25,skip,0.0,0.0,0.0,0.0,0.0,254.2899932861328,251.71200561523438,no_breakout,0.0,0.0,22,,,False,0,0,0,15,5,10,0,10,-8,-10,0
2025-09-26,skip,0.0,0.0,0.0,0.0,0.0,256.6000061035156,253.77999877929688,no_entry,0.0,0.0,-38,,,False,0,0,0,-15,5,10,0,-10,0,-10,8
2025-09-29,skip,0.0,0.0,0.0,0.0,0.0,254.7899932861328,253.00999450683594,no_breakout,0.0,0.0,18,,,False,0,0,0,15,5,0,0,0,0,-10,8
2025-09-30,put,253.9,254.96,254.96,253.1,252.31,255.91900634765625,253.9600067138672,stop,-1.06,-0.4175,-28,10:30,11:30,False,0,0,0,-15,5,0,0,10,0,-10,8
2025-10-01,skip,0.0,0.0,0.0,0.0,0.0,258.7900085449219,254.9499969482422,no_entry,0.0,0.0,-28,,,False,0,0,0,-15,5,0,0,10,0,-10,8
2025-10-02,call,257.29,257.1400146484375,255.67,258.51,259.72,257.2349853515625,254.14999389648438,time_stop,-0.15,-0.0583,28,10:30,15:30,False,0,0,0,15,5,0,0,10,0,-10,8
2025-10-03,skip,0.0,0.0,0.0,0.0,0.0,259.0400085449219,253.9600067138672,no_breakout,0.0,0.0,18,,,False,0,0,0,15,5,10,0,-10,0,-10,8
2025-10-06,skip,0.0,0.0,0.0,0.0,0.0,259.07000732421875,255.0500030517578,no_breakout,0.0,0.0,18,,,False,0,0,0,15,5,0,0,0,0,-10,8
2025-10-07,put,256.24,255.78,256.86,255.78,255.31,257.3999938964844,256.2799987792969,target_1,0.46,0.1795,-30,10:30,12:30,True,0,0,0,-15,5,0,0,0,0,-10,0
2025-10-08,call,258.23,258.0299987792969,257.13,259.06,259.88,258.19000244140625,256.1099853515625,time_stop,-0.2,-0.0775,28,10:30,15:30,False,0,0,0,15,5,10,0,0,0,-10,8
2025-10-09,put,254.73,253.48,256.4,253.48,252.23,258.0,254.77499389648438,target_1,1.25,0.4907,-48,10:30,12:30,True,0,0,0,-15,5,-10,0,0,0,-10,8
2025-10-10,skip,0.0,0.0,0.0,0.0,0.0,256.3800048828125,254.42999267578125,no_breakout,0.0,0.0,-12,,,False,0,0,0,-15,0,0,5,10,8,-10,0
2025-10-13,skip,0.0,0.0,0.0,0.0,0.0,249.49000549316406,245.55999755859375,no_entry,0.0,0.0,-38,,,False,0,0,0,-15,5,-10,0,10,0,-10,8
2025-10-14,skip,0.0,0.0,0.0,0.0,0.0,247.22999572753906,244.6999969482422,no_breakout,0.0,0.0,23,,,False,0,0,0,15,5,0,5,0,0,-10,8
2025-10-15,skip,0.0,0.0,0.0,0.0,0.0,251.82000732421875,248.63999938964844,no_entry,0.0,0.0,43,,,False,0,0,0,15,5,10,5,10,0,-10,8
2025-10-16,skip,0.0,0.0,0.0,0.0,0.0,248.3800048828125,246.6199951171875,no_breakout,0.0,0.0,5,,,False,0,0,0,15,5,-10,5,0,0,-10,0
2025-10-17,call,250.4,251.63,248.76,251.63,252.86,250.32000732421875,247.27000427246094,target_1,1.23,0.4912,43,11:30,13:30,True,0,0,0,15,5,10,5,10,0,-10,8
2025-10-20,call,259.97,263.36,257.71,261.67,263.36,259.8699951171875,255.6300048828125,target_2,3.39,1.304,38,10:30,11:30,True,0,0,0,15,5,10,0,10,0,-10,8
